site_id,address,city,state,metro,lat,lng,ev_score,population,ev_ownership,ev_usage_demand,street_traffic,income,proximity_amenities,foot_traffic,mall_occupancy,retailers,data_quality_grade,notes,owner_name,owner_email,owner_phone,property_type,parcel_id,lease_status,utility_provider,grid_capacity_pct,interconnection_queue_months,permit_status
SITE-0001,8513 1st Ave,Austin,TX,"Austin, TX",30.38015,-97.637238,60,73,87,75,80,69,58,84,48,49,A,,GreenCharge LLC,contact35@sungrid.com,(732) 296-2909,Mixed-Use,APN-5545-353,restricted,ComEd,62,7,approved
SITE-0002,4376 2nd St,Houston,TX,"Houston, TX",29.796695,-95.377192,60,36,34,83,38,50,21,12,28,70,A,High foot traffic area,SunGrid Energy,contact31@metroev.com,(293) 371-5000,Parking Garage,APN-4047-503,restricted,PSE,37,13,approved
SITE-0003,4660 Maple Dr,Phoenix,AZ,"Phoenix, AZ",33.531817,-112.126963,39,28,69,47,79,72,24,34,64,38,B,,GreenCharge LLC,contact16@greencharge.com,(311) 758-4489,Industrial,APN-6022-797,restricted,Austin Energy,49,9,pending
SITE-0004,7706 Innovation Way,Phoenix,AZ,"Phoenix, AZ",33.378384,-111.956702,82,48,11,58,32,83,19,25,80,21,A,Newly developed area,VoltStation Co,contact6@evpower.com,(892) 563-8491,Shopping Center,APN-7571-969,restricted,APS,61,13,denied
SITE-0005,7193 Sunset Blvd,San Francisco,CA,"San Francisco, CA",37.773592,-122.355404,91,50,29,86,51,30,89,80,13,29,B,Good visibility,SunGrid Energy,contact22@evpower.com,(467) 727-5871,Industrial,APN-7497-625,restricted,ConEd,58,7,pending
SITE-0006,5169 Sunset Blvd,Los Angeles,CA,"Los Angeles, CA",34.117894,-117.833595,86,93,60,37,75,72,66,61,87,85,A,Newly developed area,Metro EV Solutions,contact8@greencharge.com,(725) 976-3166,Industrial,APN-8841-681,restricted,APS,92,2,approved
SITE-0007,1143 Elm Dr,Miami,FL,"Miami, FL",25.786221,-80.123486,28,25,52,65,81,60,61,22,38,59,C,Good visibility,CleanDrive Inc,contact33@chargeco.com,(965) 677-1664,Commercial,APN-8885-145,restricted,ConEd,47,10,approved
SITE-0008,8160 Highland Ave,Chicago,IL,"Chicago, IL",41.992396,-87.767748,68,57,37,11,62,67,86,49,55,51,A,Good visibility,SunGrid Energy,contact16@metroev.com,(649) 720-4978,Shopping Center,APN-6085-105,available,FPL,46,1,denied
SITE-0009,2230 Harbor Blvd,Denver,CO,"Denver, CO",39.787966,-104.98665,73,75,36,44,32,71,85,20,75,39,A,Good visibility,Metro EV Solutions,contact6@greencharge.com,(774) 521-3932,Office Complex,APN-4931-939,available,FPL,32,9,pending
SITE-0010,321 Commerce Dr,Phoenix,AZ,"Phoenix, AZ",33.350684,-111.98697,56,38,62,87,50,86,39,64,81,76,C,,PowerUp Networks,contact5@greencharge.com,(584) 801-3738,Parking Garage,APN-1747-889,unavailable,PSE,85,4,pending
SITE-0011,1310 1st Ave,Chicago,IL,"Chicago, IL",41.756209,-87.659576,81,56,88,37,44,82,63,39,80,12,A,Good visibility,EV Power Corp,contact36@evpower.com,(744) 232-4573,Shopping Center,APN-4440-375,unavailable,CenterPoint,67,10,denied
SITE-0012,1016 2nd St,Los Angeles,CA,"Los Angeles, CA",33.869077,-118.225039,93,44,82,85,89,28,15,52,58,83,B,Adjacent to shopping center,FastCharge Partners,contact40@chargeco.com,(980) 257-3951,Shopping Center,APN-3234-740,available,PG&E,52,15,denied
SITE-0013,4866 2nd St,New York,NY,"New York, NY",40.795862,-74.058066,60,66,43,23,27,63,20,85,48,68,A,,VoltStation Co,contact42@evpower.com,(708) 351-5299,Commercial,APN-4963-257,restricted,FPL,36,12,pending
SITE-0014,4248 Main St,Phoenix,AZ,"Phoenix, AZ",33.501048,-112.046775,63,51,30,14,51,54,25,76,86,9,A,Near highway exit,ChargePoint Holdings,contact9@greencharge.com,(524) 561-4857,Shopping Center,APN-7823-700,restricted,Austin Energy,36,2,approved
SITE-0015,2031 Park Ave,Miami,FL,"Miami, FL",25.871136,-80.229058,37,45,56,41,61,90,56,37,19,22,A,Adjacent to shopping center,VoltStation Co,contact24@sungrid.com,(553) 903-3288,Shopping Center,APN-9088-421,available,PSE,71,11,denied
SITE-0016,4650 3rd Ave,Los Angeles,CA,"Los Angeles, CA",34.00495,-118.275964,75,63,87,48,57,75,65,46,89,17,A,Newly developed area,SunGrid Energy,contact17@metroev.com,(980) 859-5884,Commercial,APN-3980-550,available,APS,46,2,approved
SITE-0017,5011 Market St,Miami,FL,"Miami, FL",25.820267,-80.311942,57,17,61,14,30,37,39,29,40,40,A,Strong anchor tenants nearby,VoltStation Co,contact3@evpower.com,(985) 419-9204,Shopping Center,APN-3885-227,restricted,SCE,66,10,approved
SITE-0018,2166 Pine St,Phoenix,AZ,"Phoenix, AZ",33.425291,-111.920008,59,72,74,64,23,80,52,47,5,27,A,,Metro EV Solutions,contact33@metroev.com,(677) 836-7430,Mixed-Use,APN-6891-596,restricted,CenterPoint,30,15,approved
SITE-0019,7856 Oak Ave,Seattle,WA,"Seattle, WA",47.565555,-122.292913,54,81,87,95,22,80,54,15,51,7,A,,SunGrid Energy,contact48@sungrid.com,(979) 734-2091,Office Complex,APN-4971-533,unavailable,SCE,47,14,pending
